name,facility_id,provider,notes,max_length
West Lake,231855,recreation_gov,Arapaho & Roosevelt NF - near Red Feather Lakes CO,0
Pawnee,232282,recreation_gov,Brainard Lake Rec Area - near Ward CO (Peak to Peak),0
Olive Ridge,232281,recreation_gov,Hwy 7 near Allenspark CO - SE corner of RMNP,0
Dowdy Lake,231854,recreation_gov,Red Feather Lakes CO - on Dowdy Lake (electric),0
Arapaho Bay,231860,recreation_gov,Lake Granby / Arapaho NRA - SE of Grand Lake CO,0
Kelly Dahl,232280,recreation_gov,Hwy 119 near Nederland - paved easy access ~55min,0
Peaceful Valley,232368,recreation_gov,Hwy 72 - Middle St Vrain Creek (stream) ~1h,0
Camp Dick,232369,recreation_gov,Hwy 72 next to Peaceful Valley - creekside ~1h,0
Cold Springs,231856,recreation_gov,Hwy 119 near Central City ~1h,0
Columbine,232381,recreation_gov,Central City historic area ~1h10,0
Rainbow Lakes,10386586,recreation_gov,Near Ward - rough 5mi dirt road tent-friendly ~1h30,0
Meeker Park Overflow,10386556,recreation_gov,Hwy 7 primitive/overflow ~1h15,0
Longs Peak,10317461,recreation_gov,RMNP TENT ONLY - Longs trailhead ~1h20,0
West Chicago Creek,231859,recreation_gov,Near Idaho Springs - Chicago Creek (stream) ~1h20,0
Echo Lake,231857,recreation_gov,Hwy 103 lakeside 10600ft base of Mt Blue Sky ~1h30,0
Glacier Basin,232462,recreation_gov,RMNP Bear Lake Rd - needs timed-entry + reservation ~1h30,0
Moraine Park,232463,recreation_gov,RMNP Big Thompson River - timed-entry + reservation ~1h30,0
Aspenglen,233187,recreation_gov,RMNP Fall River entrance - timed-entry + reservation ~1h30,0
Clear Lake,10386706,recreation_gov,Guanella Pass Rd - small quiet lakeside ~1h30,0
Guanella Pass,232306,recreation_gov,Near Georgetown - fishing ~1h30,0
Idlewild,10311402,recreation_gov,Winter Park - Fraser River (stream) walk to town ~1h45,0
St. Louis Creek,10311430,recreation_gov,Fraser / Winter Park - St Louis Creek ~1h50,0
Green Ridge,231861,recreation_gov,Shadow Mountain / Grand Lake - lake access ~2h,0
Stillwater,231862,recreation_gov,Lake Granby - boating/fishing/swimming ~2h,0
Ansel Watrous,234512,recreation_gov,Poudre Canyon Hwy 14 - Cache la Poudre River ~1h45,0
Stove Prairie,234509,recreation_gov,Poudre Canyon - Cache la Poudre River ~1h50,0
Mountain Park,231852,recreation_gov,Poudre Canyon - Cache la Poudre River ~1h50,0
Narrows,234510,recreation_gov,Poudre Canyon - Cache la Poudre River ~2h,0
